vocab_size not found in data/openwebtext/meta.pkl, using GPT-2 default of 50257
Initializing a new model from scratch
number of parameters: 50.96M
step 0: learning rate 0.00060000, train loss 10.9687, val loss 10.9745
step 250: learning rate 0.00060000, train loss 10.9773, val loss 10.9790
step 500: learning rate 0.00060000, train loss 10.9795, val loss 10.9725
step 750: learning rate 0.00060000, train loss 10.9804, val loss 10.9725
step 1000: learning rate 0.00060000, train loss 10.9768, val loss 10.9793
step 1250: learning rate 0.00059999, train loss 10.9769, val loss 10.9828
step 1500: learning rate 0.00059999, train loss 10.9699, val loss 10.9736
step 1750: learning rate 0.00059999, train loss 10.9730, val loss 10.9791
step 2000: learning rate 0.00059999, train loss 10.9810, val loss 10.9820
step 2250: learning rate 0.00059998, train loss 10.9743, val loss 10.9786
step 2500: learning rate 0.00059998, train loss 10.9739, val loss 10.9762
step 2750: learning rate 0.00059997, train loss 10.9710, val loss 10.9771
step 3000: learning rate 0.00059997, train loss 10.9735, val loss 10.9796
step 3250: learning rate 0.00059996, train loss 10.9834, val loss 10.9706
step 3500: learning rate 0.00059995, train loss 10.9776, val loss 10.9748
step 3750: learning rate 0.00059995, train loss 10.9740, val loss 10.9705
step 4000: learning rate 0.00059994, train loss 10.9805, val loss 10.9778
step 4250: learning rate 0.00059993, train loss 10.9813, val loss 10.9762
step 4500: learning rate 0.00059993, train loss 10.9695, val loss 10.9784
step 4750: learning rate 0.00059992, train loss 10.9722, val loss 10.9736
step 5000: learning rate 0.00059991, train loss 10.9761, val loss 10.9821
step 5250: learning rate 0.00059990, train loss 10.9777, val loss 10.9717
step 5500: learning rate 0.00059989, train loss 10.9774, val loss 10.9787
step 5750: learning rate 0.00059988, train loss 10.9813, val loss 10.9783
step 6000: learning rate 0.00059987, train loss 10.9856, val loss 10.9830
step 6250: learning rate 0.00059986, train loss 10.9737, val loss 10.9794
step 6500: learning rate 0.00059984, train loss 10.9793, val loss 10.9721
step 6750: learning rate 0.00059983, train loss 10.9804, val loss 10.9811
step 7000: learning rate 0.00059982, train loss 10.9783, val loss 10.9743
step 7250: learning rate 0.00059981, train loss 10.9774, val loss 10.9769
step 7500: learning rate 0.00059979, train loss 10.9794, val loss 10.9760
step 7750: learning rate 0.00059978, train loss 10.9772, val loss 10.9775
step 8000: learning rate 0.00059976, train loss 10.9746, val loss 10.9805
step 8250: learning rate 0.00059975, train loss 10.9725, val loss 10.9789
step 8500: learning rate 0.00059973, train loss 10.9804, val loss 10.9834
step 8750: learning rate 0.00059972, train loss 10.9786, val loss 10.9756
step 9000: learning rate 0.00059970, train loss 10.9768, val loss 10.9818
step 9250: learning rate 0.00059968, train loss 10.9716, val loss 10.9699
step 9500: learning rate 0.00059967, train loss 10.9780, val loss 10.9810
step 9750: learning rate 0.00059965, train loss 10.9762, val loss 10.9795
step 10000: learning rate 0.00059963, train loss 10.9742, val loss 10.9782
step 10250: learning rate 0.00059961, train loss 10.9775, val loss 10.9796
step 10500: learning rate 0.00059959, train loss 10.9836, val loss 10.9765
step 10750: learning rate 0.00059957, train loss 10.9760, val loss 10.9784
step 11000: learning rate 0.00059955, train loss 10.9705, val loss 10.9781
step 11250: learning rate 0.00059953, train loss 10.9762, val loss 10.9695
step 11500: learning rate 0.00059951, train loss 10.9774, val loss 10.9782
step 11750: learning rate 0.00059949, train loss 10.9715, val loss 10.9711
step 12000: learning rate 0.00059947, train loss 10.9736, val loss 10.9804
step 12250: learning rate 0.00059944, train loss 10.9726, val loss 10.9753
step 12500: learning rate 0.00059942, train loss 10.9834, val loss 10.9819
step 12750: learning rate 0.00059940, train loss 10.9740, val loss 10.9785
step 13000: learning rate 0.00059937, train loss 10.9748, val loss 10.9765
step 13250: learning rate 0.00059935, train loss 10.9783, val loss 10.9706
step 13500: learning rate 0.00059933, train loss 10.9803, val loss 10.9742
step 13750: learning rate 0.00059930, train loss 10.9799, val loss 10.9708
step 14000: learning rate 0.00059927, train loss 10.9706, val loss 10.9817
step 14250: learning rate 0.00059925, train loss 10.9685, val loss 10.9800
step 14500: learning rate 0.00059922, train loss 10.9724, val loss 10.9753
step 14750: learning rate 0.00059920, train loss 10.9760, val loss 10.9735
step 15000: learning rate 0.00059917, train loss 10.9771, val loss 10.9754
step 15250: learning rate 0.00059914, train loss 10.9817, val loss 10.9683
